latitude,longitude,label
9.683921,77.2808169,not coconut farm
9.67795,77.2578359,coconut farm
9.6979955,77.2585219,not coconut farm
9.687333,77.2602369,partly coconut farm
9.688186,77.2856189,not coconut farm
9.678803,77.2725849,partly coconut farm
9.6852005,77.2736139,not coconut farm
9.6886125,77.2736139,not coconut farm
9.6979955,77.2897349,coconut farm
9.6988485,77.2804739,coconut farm
9.68648,77.2633239,partly coconut farm
9.6783765,77.2767009,partly coconut farm
9.6988485,77.2574929,not coconut farm
9.6817885,77.2633239,coconut farm
9.6894655,77.2825319,not coconut farm
9.689039,77.2643529,not coconut farm
9.683921,77.2633239,coconut farm
9.696716,77.2725849,not coconut farm
9.689892,77.2698409,partly coconut farm
9.693304,77.2876769,not coconut farm
9.6928775,77.2869909,not coconut farm
9.682215,77.2712129,not coconut farm
9.675391,77.2760149,not coconut farm
9.682215,77.2688119,coconut farm
9.6783765,77.2643529,not coconut farm
9.6894655,77.2657249,not coconut farm
9.6886125,77.2674399,coconut farm
9.6783765,77.2653819,not coconut farm
9.681362,77.2643529,coconut farm
9.683921,77.2753289,partly coconut farm
9.691598,77.2842469,not coconut farm
9.687333,77.2674399,partly coconut farm
9.6843475,77.2636669,coconut farm
9.6971425,77.2856189,not coconut farm
9.697569,77.2660679,not coconut farm
9.696716,77.2622949,not coconut farm
9.690745,77.2612659,coconut farm
9.682215,77.2653819,partly coconut farm
9.676244,77.2770439,partly coconut farm
9.689892,77.2701839,not coconut farm
9.675391,77.2804739,partly coconut farm
9.6843475,77.2742999,partly coconut farm
9.6817885,77.2705269,not coconut farm
9.679656,77.2715559,partly coconut farm
9.675391,77.2736139,partly coconut farm
9.696716,77.2811599,not coconut farm
9.684774,77.2598939,partly coconut farm
9.6834945,77.2787589,not coconut farm
9.68648,77.2708699,coconut farm
9.690745,77.2722419,partly coconut farm
9.6775235,77.2657249,not coconut farm
9.6843475,77.2780729,not coconut farm
9.682215,77.2694979,partly coconut farm
9.6928775,77.2763579,partly coconut farm
9.694157,77.2736139,coconut farm
9.6826415,77.2777299,not coconut farm
9.6988485,77.2694979,not coconut farm
9.6945835,77.2845899,not coconut farm
9.6894655,77.2650389,not coconut farm
9.6809355,77.2657249,not coconut farm
9.700981,77.2688119,not coconut farm
9.6826415,77.2653819,partly coconut farm
9.6903185,77.2626379,partly coconut farm
9.6826415,77.2753289,not coconut farm
9.696716,77.2598939,not coconut farm
9.678803,77.2557779,coconut farm
9.696716,77.2794449,not coconut farm
9.693304,77.2585219,not coconut farm
9.6775235,77.2801309,partly coconut farm
9.685627,77.2787589,not coconut farm
9.6886125,77.2694979,not coconut farm
9.6860535,77.2681259,partly coconut farm
9.680509,77.2588649,partly coconut farm
9.683068,77.2784159,not coconut farm
9.695863,77.2815029,not coconut farm
9.6945835,77.2619519,coconut farm
9.680509,77.2657249,not coconut farm
9.6749645,77.2777299,partly coconut farm
9.6826415,77.2561209,coconut farm
9.6758175,77.2722419,not coconut farm
9.690745,77.2797879,not coconut farm
9.680509,77.2736139,partly coconut farm
9.68648,77.2801309,not coconut farm
9.6954365,77.2612659,partly coconut farm
9.6911715,77.2760149,coconut farm
9.6860535,77.2825319,not coconut farm
9.68648,77.2629809,partly coconut farm
9.6894655,77.2640099,not coconut farm
9.6775235,77.2677829,not coconut farm
9.696716,77.2883629,not coconut farm
9.6928775,77.2828749,not coconut farm
9.695863,77.2739569,not coconut farm
9.7005545,77.2612659,not coconut farm
9.7005545,77.2712129,partly coconut farm
9.689039,77.2605799,coconut farm
9.680509,77.2609229,coconut farm
9.692451,77.2736139,coconut farm
9.6971425,77.2653819,not coconut farm
9.69501,77.2732709,partly coconut farm
9.69501,77.2585219,partly coconut farm
9.700981,77.2612659,not coconut farm
9.6792295,77.2797879,not coconut farm
9.6954365,77.2574929,coconut farm
9.6988485,77.2715559,not coconut farm
9.698422,77.2626379,not coconut farm
9.6979955,77.2718989,not coconut farm
9.699275,77.2708699,not coconut farm
9.691598,77.2835609,not coconut farm
9.6834945,77.2718989,not coconut farm
